ID,Sales
T1188341,48822.07
T1188342,35215.76
T1188343,70538.58
T1188344,34038.816
T1188345,36275.47
T1188346,89013.164
T1188347,58644.258
T1188348,44206.367
T1188349,48200.92
T1188350,31383.031
T1188351,37657.613
T1188352,42600.316
T1188353,36409.33
T1188354,34989.574
T1188355,37646.746
T1188356,32826.37
T1188357,42662.59
T1188358,20091.924
T1188359,25147.225
T1188360,51055.492
T1188361,28336.348
T1188362,38263.793
T1188363,38928.09
T1188364,28490.11
T1188365,35495.91
T1188366,28368.324
T1188367,32901.484
T1188368,29175.21
T1188369,34010.438
T1188370,41974.59
T1188371,34732.61
T1188372,54024.93
T1188373,32838.88
T1188374,29631.902
T1188375,75893.99
T1188376,61151.996
T1188377,30465.295
T1188378,30006.793
T1188379,25115.984
T1188380,57139.258
T1188381,28491.664
T1188382,32556.568
T1188383,30818.775
T1188384,30469.93
T1188385,42374.02
T1188386,34643.465
T1188387,59602.3
T1188388,58250.195
T1188389,29564.848
T1188390,95999.055
T1188391,33626.945
T1188392,45685.348
T1188393,62587.363
T1188394,44659.523
T1188395,32009.908
T1188396,70895.89
T1188397,39520.277
T1188398,37986.88
T1188399,36772.12
T1188400,41451.402
T1188401,30151.84
T1188402,18573.281
T1188403,46655.195
T1188404,27274.059
T1188405,33577.098
T1188406,21763.963
T1188407,49429.83
T1188408,33644.977
T1188409,39680.72
T1188410,23640.643
T1188411,51106.867
T1188412,22369.605
T1188413,34628.18
T1188414,25401.287
T1188415,31259.22
T1188416,41808.13
T1188417,48050.54
T1188418,39455.83
T1188419,42596.54
T1188420,51419.7
T1188421,21404.256
T1188422,47456.266
T1188423,64253.574
T1188424,33664.297
T1188425,31292.707
T1188426,34628.18
T1188427,52563.473
T1188428,34649.383
T1188429,56599.527
T1188430,48895.613
T1188431,35960.605
T1188432,19400.123
T1188433,50024.703
T1188434,32264.986
T1188435,31954.338
T1188436,51575.547
T1188437,48450.0
T1188438,22854.11
T1188439,43938.13
T1188440,35879.867
T1188441,28048.809
T1188442,42199.35
T1188443,40020.89
T1188444,34761.043
T1188445,29651.383
T1188446,25165.346
T1188447,53709.87
T1188448,61424.734
T1188449,40262.156
T1188450,32115.088
T1188451,46197.75
T1188452,21009.268
T1188453,38283.01
T1188454,26071.273
T1188455,58622.664
T1188456,25631.768
T1188457,27062.047
T1188458,29998.74
T1188459,59047.258
T1188460,21000.238
T1188461,39535.188
T1188462,34476.24
T1188463,23498.902
T1188464,44151.72
T1188465,39454.883
T1188466,28828.303
T1188467,23515.625
T1188468,40382.746
T1188469,35401.56
T1188470,21447.572
T1188471,39725.36
T1188472,42425.86
T1188473,35869.957
T1188474,50917.45
T1188475,14915.828
T1188476,43144.95
T1188477,31523.57
T1188478,31064.383
T1188479,18238.373
T1188480,44613.016
T1188481,49191.957
T1188482,41412.004
T1188483,47203.137
T1188484,47151.8
T1188485,25686.406
T1188486,18756.473
T1188487,34965.383
T1188488,34099.367
T1188489,30137.133
T1188490,45088.03
T1188491,41275.168
T1188492,26749.338
T1188493,30480.342
T1188494,47158.42
T1188495,23611.574
T1188496,42300.92
T1188497,24510.617
T1188498,30179.139
T1188499,38731.547
T1188500,48513.703
T1188501,29648.31
T1188502,36035.31
T1188503,26937.6
T1188504,29548.732
T1188505,29578.258
T1188506,50236.95
T1188507,41280.953
T1188508,39378.367
T1188509,26358.57
T1188510,31232.904
T1188511,33976.066
T1188512,35634.56
T1188513,27917.37
T1188514,34278.07
T1188515,52786.56
T1188516,32736.197
T1188517,51252.297
T1188518,30349.938
T1188519,41032.8
T1188520,20954.057
T1188521,45098.285
T1188522,33722.062
T1188523,28395.252
T1188524,42139.49
T1188525,57115.93
T1188526,27856.586
T1188527,33201.668
T1188528,33108.805
T1188529,49295.246
T1188530,35974.203
T1188531,47038.8
T1188532,41029.79
T1188533,34918.71
T1188534,36925.12
T1188535,48348.53
T1188536,53848.598
T1188537,81714.664
T1188538,52926.215
T1188539,40038.57
T1188540,34145.277
T1188541,33467.94
T1188542,59640.65
T1188543,36256.902
T1188544,38063.74
T1188545,33997.434
T1188546,24606.04
T1188547,35688.08
T1188548,42402.258
T1188549,29476.361
T1188550,37467.035
T1188551,42262.887
T1188552,17330.805
T1188553,38460.07
T1188554,63518.09
T1188555,31917.863
T1188556,55777.195
T1188557,23783.309
T1188558,25918.014
T1188559,35532.066
T1188560,33496.848
T1188561,43531.46
T1188562,25896.727
T1188563,34669.03
T1188564,51293.496
T1188565,37310.95
T1188566,40193.73
T1188567,49793.555
T1188568,21871.518
T1188569,36249.117
T1188570,33278.59
T1188571,25615.822
T1188572,52374.23
T1188573,29984.586
T1188574,33949.55
T1188575,36234.72
T1188576,49247.023
T1188577,35809.832
T1188578,28240.898
T1188579,31124.945
T1188580,29611.814
T1188581,32285.008
T1188582,26254.271
T1188583,29933.547
T1188584,26439.355
T1188585,68258.28
T1188586,28963.469
T1188587,46710.293
T1188588,28993.234
T1188589,23632.143
T1188590,39272.785
T1188591,29399.693
T1188592,30453.814
T1188593,19122.213
T1188594,79996.62
T1188595,25397.807
T1188596,35401.34
T1188597,81945.44
T1188598,49797.1
T1188599,50452.746
T1188600,30823.666
T1188601,42327.645
T1188602,24167.738
T1188603,68745.86
T1188604,37967.883
T1188605,63013.13
T1188606,25403.08
T1188607,54705.027
T1188608,39519.99
T1188609,26058.85
T1188610,56936.336
T1188611,29305.45
T1188612,47568.43
T1188613,41268.082
T1188614,48265.836
T1188615,26883.377
T1188616,50414.81
T1188617,28583.324
T1188618,47416.832
T1188619,21023.361
T1188620,33571.848
T1188621,33882.2
T1188622,32798.4
T1188623,36590.195
T1188624,21013.576
T1188625,61991.152
T1188626,35380.316
T1188627,35234.184
T1188628,37782.07
T1188629,29752.76
T1188630,34369.938
T1188631,28384.654
T1188632,38752.473
T1188633,36474.953
T1188634,30943.273
T1188635,38746.777
T1188636,26658.742
T1188637,38553.594
T1188638,27638.352
T1188639,73720.97
T1188640,26034.309
T1188641,34335.477
T1188642,33888.83
T1188643,41655.773
T1188644,27941.416
T1188645,29166.04
T1188646,29845.555
T1188647,30049.799
T1188648,35330.188
T1188649,26555.818
T1188650,25630.328
T1188651,29127.98
T1188652,63888.992
T1188653,50924.582
T1188654,37132.918
T1188655,30220.283
T1188656,42067.12
T1188657,40863.69
T1188658,39237.156
T1188659,46481.094
T1188660,27423.973
T1188661,53424.65
T1188662,52063.418
T1188663,35201.87
T1188664,22516.748
T1188665,32606.295
T1188666,47975.227
T1188667,34906.105
T1188668,59494.758
T1188669,58196.938
T1188670,83750.01
T1188671,50494.51
T1188672,58130.434
T1188673,49851.707
T1188674,37534.215
T1188675,46865.332
T1188676,36789.082
T1188677,25609.588
T1188678,47897.406
T1188679,48958.82
T1188680,24122.28
T1188681,25659.312
T1188682,45434.375
T1188683,39049.816
T1188684,23938.154
T1188685,48672.89
T1188686,33416.82
T1188687,41151.496
T1188688,33710.176
T1188689,39226.984
T1188690,33074.777
T1188691,46571.93
T1188692,31737.135
T1188693,47029.63
T1188694,23358.104
T1188695,28620.945
T1188696,44896.688
T1188697,29330.904
T1188698,46300.38
T1188699,48227.754
T1188700,41427.703
T1188701,26285.64
T1188702,57175.133
T1188703,23754.545
T1188704,37047.27
T1188705,49553.375
T1188706,83750.01
T1188707,31124.945
T1188708,23358.104
T1188709,45098.285
T1188710,59494.758
T1188711,39237.156
T1188712,28384.654
T1188713,59047.258
T1188714,35809.832
T1188715,29062.137
T1188716,17330.805
T1188717,49247.023
T1188718,38460.07
T1188719,34906.105
T1188720,20954.057
T1188721,23640.643
T1188722,50494.51
T1188723,63518.09
T1188724,18238.373
T1188725,42262.887
T1188726,44613.016
T1188727,37534.215
T1188728,49191.957
T1188729,34628.18
T1188730,41412.004
T1188731,49851.707
T1188732,29330.904
T1188733,47203.137
T1188734,58130.434
T1188735,18573.281
T1188736,25686.406
T1188737,28240.898
T1188738,18756.473
T1188739,30349.938
T1188740,33644.977
T1188741,31917.863
T1188742,47975.227
T1188743,33416.82
T1188744,37310.95
T1188745,53424.65
T1188746,40193.73
T1188747,33577.098
T1188748,49793.555
T1188749,29984.586
T1188750,27423.973
T1188751,46300.38
T1188752,21871.518
T1188753,52374.23
T1188754,36249.117
T1188755,46481.094
T1188756,33278.59
T1188757,27274.059
T1188758,51293.496
T1188759,52063.418
T1188760,40863.69
T1188761,34669.03
T1188762,55777.195
T1188763,39226.984
T1188764,23783.309
T1188765,42067.12
T1188766,33949.55
T1188767,32606.295
T1188768,25918.014
T1188769,25615.822
T1188770,49429.83
T1188771,46865.332
T1188772,33496.848
T1188773,46655.195
T1188774,43531.46
T1188775,35201.87
T1188776,25896.727
T1188777,21763.963
T1188778,22516.748
T1188779,51575.547
T1188780,44896.688
T1188781,34628.18
T1188782,47456.266
T1188783,29548.732
T1188784,27941.416
T1188785,29578.258
T1188786,50236.95
T1188787,41655.773
T1188788,41280.953
T1188789,21404.256
T1188790,26937.6
T1188791,39378.367
T1188792,26358.57
T1188793,45434.375
T1188794,31232.904
T1188795,33888.83
T1188796,33976.066
T1188797,51419.7
T1188798,35634.56
T1188799,26034.309
T1188800,63888.992
T1188801,27917.37
T1188802,26285.64
T1188803,29845.555
T1188804,25630.328
T1188805,41275.168
T1188806,32285.008
T1188807,26749.338
T1188808,31292.707
T1188809,47158.42
T1188810,26254.271
T1188811,23611.574
T1188812,36035.31
T1188813,26555.818
T1188814,33664.297
T1188815,24510.617
T1188816,35330.188
T1188817,38731.547
T1188818,30049.799
T1188819,48513.703
T1188820,37986.88
T1188821,29648.31
T1188822,42300.92
T1188823,73720.97
T1188824,52786.56
T1188825,42596.54
T1188826,46571.93
T1188827,34335.477
T1188828,35401.56
T1188829,31259.22
T1188830,21447.572
T1188831,50924.582
T1188832,39725.36
T1188833,42425.86
T1188834,23515.625
T1188835,37132.918
T1188836,25401.287
T1188837,34965.383
T1188838,30220.283
T1188839,14915.828
T1188840,25609.588
T1188841,43144.95
T1188842,36789.082
T1188843,31523.57
T1188844,50917.45
T1188845,38752.473
T1188846,28828.303
T1188847,41808.13
T1188848,32736.197
T1188849,27638.352
T1188850,51252.297
T1188851,45088.03
T1188852,38553.594
T1188853,30137.133
T1188854,39455.83
T1188855,34099.367
T1188856,26658.742
T1188857,35869.957
T1188858,41151.496
T1188859,39535.188
T1188860,48050.54
T1188861,34476.24
T1188862,30943.273
T1188863,23498.902
T1188864,44151.72
T1188865,36474.953
T1188866,39454.883
T1188867,31064.383
T1188868,37467.035
T1188869,28395.252
T1188870,29476.361
T1188871,44206.367
T1188872,33882.2
T1188873,36275.47
T1188874,31737.135
T1188875,48822.07
T1188876,33571.848
T1188877,35215.76
T1188878,29651.383
T1188879,25165.346
T1188880,70538.58
T1188881,34038.816
T1188882,89013.164
T1188883,47416.832
T1188884,58644.258
T1188885,34761.043
T1188886,28583.324
T1188887,31383.031
T1188888,33710.176
T1188889,21023.361
T1188890,37657.613
T1188891,28490.11
T1188892,32901.484
T1188893,25403.08
T1188894,71470.43
T1188895,40262.156
T1188896,29564.848
T1188897,35234.184
T1188898,95999.055
T1188899,33626.945
T1188900,35380.316
T1188901,32798.4
T1188902,61424.734
T1188903,61991.152
T1188904,44659.523
T1188905,28620.945
T1188906,32009.908
T1188907,21013.576
T1188908,34010.438
T1188909,53709.87
T1188910,32556.568
T1188911,45685.348
T1188912,59602.3
T1188913,81506.98
T1188914,40020.89
T1188915,26058.85
T1188916,39520.277
T1188917,43938.13
T1188918,27062.047
T1188919,54705.027
T1188920,36772.12
T1188921,48895.613
T1188922,22854.11
T1188923,38928.09
T1188924,35960.605
T1188925,19400.123
T1188926,49553.375
T1188927,50024.703
T1188928,47897.406
T1188929,32264.986
T1188930,48450.0
T1188931,31954.338
T1188932,57175.133
T1188933,29752.76
T1188934,42600.316
T1188935,25659.312
T1188936,38263.793
T1188937,28368.324
T1188938,26883.377
T1188939,34989.574
T1188940,37646.746
T1188941,48265.836
T1188942,32826.37
T1188943,42199.35
T1188944,42662.59
T1188945,56936.336
T1188946,41268.082
T1188947,23938.154
T1188948,20091.924
T1188949,47568.43
T1188950,25147.225
T1188951,51055.492
T1188952,29305.45
T1188953,28336.348
T1188954,35879.867
T1188955,48635.4
T1188956,41427.703
T1188957,34643.465
T1188958,63013.13
T1188959,81945.44
T1188960,48348.53
T1188961,42402.258
T1188962,35401.34
T1188963,53848.598
T1188964,34649.383
T1188965,81714.664
T1188966,25397.807
T1188967,34918.71
T1188968,52926.215
T1188969,40038.57
T1188970,79996.62
T1188971,34145.277
T1188972,25631.768
T1188973,33467.94
T1188974,68745.86
T1188975,59640.65
T1188976,36256.902
T1188977,39049.816
T1188978,19122.213
T1188979,52563.473
T1188980,49797.1
T1188981,30151.84
T1188982,36925.12
T1188983,37782.07
T1188984,33722.062
T1188985,24167.738
T1188986,42139.49
T1188987,41451.402
T1188988,57115.93
T1188989,41029.79
T1188990,42327.645
T1188991,23754.545
T1188992,33201.668
T1188993,30823.666
T1188994,33108.805
T1188995,22369.605
T1188996,50452.746
T1188997,35974.203
T1188998,47038.8
T1188999,27856.586
T1189000,24122.28
T1189001,38063.74
T1189002,29399.693
T1189003,60554.56
T1189004,61151.996
T1189005,21009.268
T1189006,26439.355
T1189007,30006.793
T1189008,47029.63
T1189009,25115.984
T1189010,29933.547
T1189011,75893.99
T1189012,57139.258
T1189013,28491.664
T1189014,30453.814
T1189015,30818.775
T1189016,70895.89
T1189017,37967.883
T1189018,30469.93
T1189019,32115.088
T1189020,42374.02
T1189021,46197.75
T1189022,29631.902
T1189023,28963.469
T1189024,32838.88
T1189025,24606.04
T1189026,58622.664
T1189027,35688.08
T1189028,48958.82
T1189029,21000.238
T1189030,30480.342
T1189031,41032.8
T1189032,23632.143
T1189033,29998.74
T1189034,64253.574
T1189035,26071.273
T1189036,41974.59
T1189037,28993.234
T1189038,34732.61
T1189039,33074.777
T1189040,29175.21
T1189041,46710.293
T1189042,54024.93
T1189043,38283.01
T1189044,37047.27
T1189045,48672.89
T1189046,29166.04
T1189047,48200.92
T1189048,36234.72
T1189049,38746.777
T1189050,29127.98
T1189051,39272.785
T1189052,39519.99
T1189053,34369.938
T1189054,58196.938
T1189055,51106.867
T1189056,35495.91
T1189057,35532.066
T1189058,56599.527
T1189059,36590.195
T1189060,30179.139
T1189061,62263.246
T1189062,33997.434
T1189063,62587.363
T1189064,34278.07
T1189065,47151.8
T1189066,40382.746
T1189067,29611.814
T1189068,30465.295
T1189069,28048.809
T1189070,49295.246
T1189071,29984.586
T1189072,36234.72
T1189073,49429.83
T1189074,21013.576
T1189075,36275.47
T1189076,52374.23
T1189077,26358.57
T1189078,32798.4
T1189079,38746.777
T1189080,30943.273
T1189081,61991.152
T1189082,44206.367
T1189083,49247.023
T1189084,33882.2
T1189085,39378.367
T1189086,33644.977
T1189087,35809.832
T1189088,34761.043
T1189089,33571.848
T1189090,33949.55
T1189091,36474.953
T1189092,33278.59
T1189093,36772.12
T1189094,27062.047
T1189095,60554.56
T1189096,41585.6
T1189097,34335.477
T1189098,26439.355
T1189099,27274.059
T1189100,51293.496
T1189101,29933.547
T1189102,35634.56
T1189103,34278.07
T1189104,70538.58
T1189105,46526.42
T1189106,30453.814
T1189107,40193.73
T1189108,37967.883
T1189109,46610.562
T1189110,49793.555
T1189111,35380.316
T1189112,31232.904
T1189113,21763.963
T1189114,26658.742
T1189115,35234.184
T1189116,48822.07
T1189117,25615.822
T1189118,29651.383
T1189119,25403.08
T1189120,38752.473
T1189121,21871.518
T1189122,63013.13
T1189123,33976.066
T1189124,33577.098
T1189125,36249.117
T1189126,28240.898
T1189127,47416.832
T1189128,64768.25
T1189129,32009.908
T1189130,33201.668
T1189131,56936.336
T1189132,30977.402
T1189133,26034.309
T1189134,49295.246
T1189135,42199.35
T1189136,37754.113
T1189137,26058.85
T1189138,35974.203
T1189139,26937.6
T1189140,54705.027
T1189141,44659.523
T1189142,69585.1
T1189143,29548.732
T1189144,33888.83
T1189145,29752.76
T1189146,19400.123
T1189147,39519.99
T1189148,41029.79
T1189149,47897.406
T1189150,36035.31
T1189151,34918.71
T1189152,45685.348
T1189153,57175.133
T1189154,63888.992
T1189155,41808.13
T1189156,48348.53
T1189157,35879.867
T1189158,49553.375
T1189159,31259.22
T1189160,28490.11
T1189161,38978.14
T1189162,34628.18
T1189163,21023.361
T1189164,42262.887
T1189165,41280.953
T1189166,29062.137
T1189167,37467.035
T1189168,38553.594
T1189169,28583.324
T1189170,32901.484
T1189171,29476.361
T1189172,81506.98
T1189173,51106.867
T1189174,23640.643
T1189175,50236.95
T1189176,36925.12
T1189177,32193.38
T1189178,26883.377
T1189179,32556.568
T1189180,33722.062
T1189181,27638.352
T1189182,48265.836
T1189183,34628.18
T1189184,28395.252
T1189185,29578.258
T1189186,41268.082
T1189187,42139.49
T1189188,34010.438
T1189189,47480.996
T1189190,47568.43
T1189191,73720.97
T1189192,57115.93
T1189193,40020.89
T1189194,34038.816
T1189195,46655.195
T1189196,28963.469
T1189197,42662.59
T1189198,43144.95
T1189199,34476.24
T1189200,26071.273
T1189201,40863.69
T1189202,32949.246
T1189203,31523.57
T1189204,50494.51
T1189205,42067.12
T1189206,32826.37
T1189207,31064.383
T1189208,37042.152
T1189209,56599.527
T1189210,39535.188
T1189211,39237.156
T1189212,58622.664
T1189213,25609.588
T1189214,44613.016
T1189215,58130.434
T1189216,40262.156
T1189217,47360.82
T1189218,37782.07
T1189219,34369.938
T1189220,49191.957
T1189221,35869.957
T1189222,25631.768
T1189223,46264.12
T1189224,38263.793
T1189225,24167.738
T1189226,49851.707
T1189227,18238.373
T1189228,47151.8
T1189229,14915.828
T1189230,83750.01
T1189231,47975.227
T1189232,28828.303
T1189233,40382.746
T1189234,50193.88
T1189235,23515.625
T1189236,58196.938
T1189237,34906.105
T1189238,25147.225
T1189239,32606.295
T1189240,46197.75
T1189241,35401.56
T1189242,51055.492
T1189243,22516.748
T1189244,21447.572
T1189245,46481.094
T1189246,35201.87
T1189247,20091.924
T1189248,39725.36
T1189249,59494.758
T1189250,52063.418
T1189251,21009.268
T1189252,42425.86
T1189253,53424.65
T1189254,50917.45
T1189255,48635.4
T1189256,23498.902
T1189257,27423.973
T1189258,55814.918
T1189259,32115.088
T1189260,34965.383
T1189261,44151.72
T1189262,41412.004
T1189263,47203.137
T1189264,34989.574
T1189265,19122.213
T1189266,81505.805
T1189267,53709.87
T1189268,30220.283
T1189269,30151.84
T1189270,39520.277
T1189271,37033.117
T1189272,31917.863
T1189273,48958.82
T1189274,32736.197
T1189275,55777.195
T1189276,58644.258
T1189277,48200.92
T1189278,33960.145
T1189279,31383.031
T1189280,37132.918
T1189281,18573.281
T1189282,35532.066
T1189283,25918.014
T1189284,52786.56
T1189285,28993.234
T1189286,39272.785
T1189287,33496.848
T1189288,89013.164
T1189289,68421.6
T1189290,25165.346
T1189291,46710.293
T1189292,42402.258
T1189293,43531.46
T1189294,27917.37
T1189295,23783.309
T1189296,51252.297
T1189297,38460.07
T1189298,53382.867
T1189299,34099.367
T1189300,42327.645
T1189301,25686.406
T1189302,34649.383
T1189303,37534.215
T1189304,30823.666
T1189305,18756.473
T1189306,37378.797
T1189307,28368.324
T1189308,30349.938
T1189309,59197.69
T1189310,30137.133
T1189311,52563.473
T1189312,20954.057
T1189313,68417.02
T1189314,57868.414
T1189315,81945.44
T1189316,17330.805
T1189317,41451.402
T1189318,79996.62
T1189319,37657.613
T1189320,36789.082
T1189321,59047.258
T1189322,25896.727
T1189323,25397.807
T1189324,45088.03
T1189325,22369.605
T1189326,35401.34
T1189327,31124.945
T1189328,38928.09
T1189329,45734.59
T1189330,45098.285
T1189331,29648.31
T1189332,36590.195
T1189333,31926.764
T1189334,33664.297
T1189335,42374.02
T1189336,29631.902
T1189337,29127.98
T1189338,24510.617
T1189339,26555.818
T1189340,30179.139
T1189341,40038.57
T1189342,64253.574
T1189343,27941.416
T1189344,33416.82
T1189345,41151.496
T1189346,31737.135
T1189347,33074.777
T1189348,38063.74
T1189349,75893.99
T1189350,30049.799
T1189351,43965.973
T1189352,39455.83
T1189353,41275.168
T1189354,23611.574
T1189355,52926.215
T1189356,48672.89
T1189357,30465.295
T1189358,46300.38
T1189359,95999.055
T1189360,69364.23
T1189361,48513.703
T1189362,24122.28
T1189363,59984.742
T1189364,24606.04
T1189365,34145.277
T1189366,31954.338
T1189367,30469.93
T1189368,35330.188
